IDtag,RTC_time,,temp,humidity,loadCell,vbat,ElecCond
100,15:14_4/17,,13.68,54.88,-0.348057,3.9,188
100,15:19_4/17,,13,54.57,0.782584,3.9,212
100,15:24_4/17,,12.69,54.4,0.781958,3.9,212
100,15:29_4/17,,12.35,54.75,0.780781,3.9,190
100,15:34_4/17,,12.09,57.85,0.780781,3.9,190
100,15:39_4/17,,10.59,64.06,0.781867,3.9,190
100,15:44_4/17,,10.01,69.73,0.783618,3.9,188
100,15:49_4/17,,10.68,67.78,0.783681,3.9,188
100,15:54_4/17,,10.77,67.01,0.786022,3.9,188
100,15:59_4/17,,10.55,66.49,0.786732,3.9,189
100,16:4_4/17,,11.27,67.73,0.78547,3.9,189
100,16:9_4/17,,12.09,66.02,0.78535,3.9,189
100,16:14_4/17,,12.16,64.86,0.784832,3.9,189
100,16:19_4/17,,11.62,64.06,0.784756,3.9,189
100,16:24_4/17,,11.48,64.64,0.78456,3.9,189
100,16:29_4/17,,11.61,64.27,0.783414,3.9,191
100,16:34_4/17,,11.65,64,0.783683,3.9,250
100,16:39_4/17,,11.63,64.37,0.782951,3.9,250
100,16:49_4/17,,11.67,64.36,0.780866,3.8,251
100,16:59_4/17,,11.76,63.88,0.78144,3.8,192
100,17:4_4/17,,11.43,63.21,0.781448,3.8,212
100,17:9_4/17,,11.32,62.36,0.782154,3.9,212
100,17:14_4/17,,11.23,62.61,0.780191,3.8,190
100,17:19_4/17,,11.26,62.68,0.781864,3.8,211
100,17:24_4/17,,11.21,62.2,0.778897,3.8,211
100,17:29_4/17,,11.27,62.39,0.779063,3.8,193
100,17:34_4/17,,11.24,62.41,0.779462,3.8,213
100,17:39_4/17,,11.22,62.2,0.779193,3.8,213
100,17:44_4/17,,11.16,62.22,0.778871,3.8,191
100,17:49_4/17,,11.1,62.07,0.778278,3.9,256
100,17:54_4/17,,11.13,62.41,0.778421,3.8,256
100,17:59_4/17,,11.1,61.97,0.778188,3.8,191
100,18:4_4/17,,11,62.12,0.777786,3.8,214
100,18:9_4/17,,10.88,61.8,0.778026,3.8,214
100,18:14_4/17,,10.83,62.07,0.777885,3.8,192
100,18:19_4/17,,10.85,62.39,0.777731,3.8,212
100,18:24_4/17,,10.81,62.31,0.777477,3.8,212
100,18:29_4/17,,10.74,62.5,0.777577,3.8,192
100,18:34_4/17,,10.75,62.36,0.777101,3.8,258
100,18:39_4/17,,10.67,62.31,0.776876,3.8,258
100,18:44_4/17,,10.62,62.15,0.7768,3.8,194
100,18:49_4/17,,10.57,62.29,0.77659,3.8,256
100,18:54_4/17,,10.45,62.15,0.776494,3.8,256
100,18:59_4/17,,10.26,62.55,0.776524,3.8,193
100,19:4_4/17,,10.17,62.97,0.776117,3.8,213
100,19:9_4/17,,10.08,63.08,0.776042,3.8,213
100,19:14_4/17,,9.96,63.26,0.776284,3.8,192
100,19:19_4/17,,9.74,63.2,0.775835,3.8,214
100,19:24_4/17,,9.43,63.12,0.775411,3.8,214
100,19:29_4/17,,9.19,63.28,0.775212,3.8,193
100,19:34_4/17,,8.9,63.51,0.774994,3.8,265
100,19:39_4/17,,8.67,63.83,0.774725,3.8,265
100,19:44_4/17,,8.53,64.33,0.774596,3.8,194
100,19:49_4/17,,8.32,64.61,0.774514,3.8,261
100,19:54_4/17,,8.2,64.71,0.774237,3.8,261
100,19:59_4/17,,8.22,64.93,0.774276,3.8,193
100,20:4_4/17,,8.26,66.21,0.774653,3.8,214
100,20:9_4/17,,8.47,66.67,0.774124,3.8,214
100,20:14_4/17,,8.45,67.18,0.774158,3.8,194
